Configuration,Convergence,E
0,T,-152.65658
1,T,-153.10863999999998
2,F,-3.5521e-08
3,T,-151.09143999999998
4,T,-152.61171000000002
5,T,-152.92569
6,T,-151.39199
7,T,-151.56785
8,F,-0.037357
9,F,-2.2277
10,F,-0.00031416
11,T,-151.88568
12,T,-151.50212
13,T,-152.8118
14,T,-152.61314
15,T,-151.69415
16,T,-149.47576
17,T,-151.37349
18,F,-3.7223e-08
19,T,-153.13872
20,T,-151.57588
21,T,-151.57752
22,T,-153.05995
23,T,-152.8688
24,T,-153.28158
25,T,-152.43327
26,T,-151.00451
27,T,-153.04933
28,T,-153.30958
29,T,-151.9214
30,T,-151.61033
31,T,-153.1453
32,F,-4.4553000000000005e-07
33,T,-153.04357
34,T,-151.51458
35,T,-151.42581
36,F,-5.7123e-05
37,T,-153.11576000000002
38,F,-0.0014048
39,T,-151.71715
40,T,-151.39459
41,T,-153.16152
42,T,-153.12788
43,T,-152.57572
44,T,-151.73342
45,T,-152.86991
46,T,-153.39716
47,T,-152.7456
48,T,-151.66211
49,F,-6.9016e-08
50,T,-152.7648
51,F,-0.085752
52,T,-152.60985
53,T,-151.52692
54,T,-140.53126
55,T,-153.22463
56,T,-152.77919
57,T,-152.32853
58,T,-151.15355
59,T,-152.78366
60,T,-153.15881000000002
61,T,-152.44746999999998
62,T,-151.73993000000002
63,T,-152.67819
