Configuration,Convergence,E
0,T,-152.91959
1,T,-150.8098
2,T,-150.8325
3,T,-152.71851999999998
4,T,-152.61334
5,T,-153.11896000000002
6,T,-151.10833
7,T,-153.04271
8,T,-153.10076999999998
9,T,-152.15125
10,T,-150.72092
11,T,-151.12833999999998
12,T,-153.16319
13,F,-1.901
14,T,-152.50782
15,T,-150.8443
16,T,-150.71593000000001
17,T,-152.54131
18,T,-152.61202
19,T,-150.78476
20,T,-150.82028
21,T,-152.49348
22,F,-0.010452
23,T,-152.69772
24,T,-150.82932
25,T,-150.91448
26,T,-152.85602
27,T,-152.88761
28,T,-153.10715
29,T,-151.26346
30,T,-152.83236000000002
31,T,-152.40975
32,T,-152.83649
33,T,-151.10342
34,T,-150.86515
35,T,-153.12668
36,F,-0.00016517
37,T,-151.04425
38,T,-150.90667
39,T,-151.27537
40,T,-153.21106
41,T,-152.7654
42,T,-151.14526
43,T,-151.04272
44,T,-151.30658
45,T,-151.27326000000002
46,T,-150.80837
47,T,-150.8965
48,T,-151.03636
49,T,-153.38066
50,T,-152.70015
51,T,-151.14087
52,T,-150.62587
53,T,-151.32605
54,T,-152.28228000000001
55,T,-150.92587
56,T,-151.31911000000002
57,T,-150.79278
58,T,-153.08137
59,T,-152.8972
60,T,-150.91911000000002
61,T,-150.97256000000002
62,T,-151.31968
63,T,-152.71258
