Configuration,Convergence,E
0,T,-168.78616
1,T,-168.38762
2,T,-167.48651
3,T,-167.71736
4,T,-169.19752
5,T,-167.64281
6,T,-168.08766
7,T,-168.03953
8,T,-167.85242
9,F,-163.8724
10,T,-169.03423
11,T,-167.85468999999998
12,T,-168.55613
13,T,-169.24205
14,T,-168.28683999999998
15,F,-2.3011e-05
16,T,-167.59233
17,T,-167.18829
18,T,-169.06943
19,T,-168.7823
20,T,-167.75565
21,T,-169.35112
22,T,-168.29091
23,T,-168.09464
24,T,-168.91853
25,T,-167.74563
26,T,-167.58472
27,T,-169.5109
28,T,-167.67511000000002
29,T,-167.89068
30,T,-169.20044
31,T,-169.66499
32,F,-153.24536
33,T,-169.41378999999998
34,T,-167.52233
35,T,-167.90516000000002
36,F,-229.35432000000003
37,F,-7.2851e-06
38,T,-167.69148
39,T,-169.05185
40,T,-169.22773999999998
41,F,-2359.4
42,T,-169.49126
43,T,-167.7502
44,T,-169.0157
45,F,-405.81
46,T,-169.09253
47,T,-167.6965
48,T,-167.77454
49,T,-169.40408
50,F,-154.14411
51,T,-169.08392
52,T,-167.37031000000002
53,T,-169.71811
54,F,-0.27131
55,T,-167.56048
56,T,-168.66709
57,T,-167.78903
58,T,-169.0795
59,T,-169.47955
60,T,-167.94494
61,T,-167.3528
62,T,-169.67521000000002
63,T,-168.28101
