Configuration,Convergence,E
0,T,-.16868955E+03
1,T,-.16969709E+03
2,T,-.16811002E+03
3,T,-.16770291E+03
4,T,-.16879664E+03
5,T,-.16898611E+03
6,T,-.16696884E+03
7,T,-.16788455E+03
8,T,-.16773062E+03
9,F,-0.10800E+00
10,T,-.16952911E+03
11,T,-.16781440E+03
12,T,-.16778831E+03
13,T,-.16916085E+03
14,T,-.16924458E+03
15,T,-.16778901E+03
16,F,-0.51884E-03
17,T,-.16766975E+03
18,T,-.16942847E+03
19,T,-.16926768E+03
20,T,-.16791368E+03
21,T,-.16789129E+03
22,T,-.16737428E+03
23,T,-.16905410E+03
24,T,-.16970597E+03
25,T,-.16493228E+03
26,T,-.16765352E+03
27,T,-.16944303E+03
28,T,-.16901180E+03
29,T,-.16788864E+03
30,T,-.16789844E+03
31,T,-.16912448E+03
32,T,-.16874107E+03
33,T,-.16775834E+03
34,T,-.16738538E+03
35,T,-.16778680E+03
36,F,-0.49970E+04
37,T,-.16961813E+03
38,F,-0.27293E-01
39,T,-.16756768E+03
40,T,-.16779028E+03
41,T,-.16959906E+03
42,T,-.16944119E+03
43,T,-.16785669E+03
44,T,-.16791489E+03
45,T,-.16923494E+03
46,T,-.16932820E+03
47,T,-.16801131E+03
48,T,-.16760939E+03
49,F,0
50,T,-.16900152E+03
51,F,-.14489056E+03
52,T,-.16786854E+03
53,T,-.16788839E+03
54,F,-.15528222E+03
55,T,-.16963620E+03
56,T,-.16909682E+03
57,T,-.16790267E+03
58,T,-.16788532E+03
59,T,-.16887324E+03
60,T,-.16939700E+03
61,T,-.16818857E+03
62,T,-.16791418E+03
63,F,-0.10087E+05
