Configuration,Convergence,E
0,T,-168.89176
1,T,-167.20706
2,T,-167.54222
3,T,-168.94956000000002
4,T,-168.71233999999998
5,T,-169.44831000000002
6,T,-167.66613999999998
7,T,-169.53631000000001
8,T,-169.31736999999998
9,T,-168.52146000000002
10,T,-167.48192
11,T,-167.00195
12,F,-1.1804e-05
13,F,-0.59067
14,T,-168.82918999999998
15,F,-7.319499999999999e-07
16,T,-166.9378
17,T,-168.73834
18,T,-168.92855
19,T,-167.25847
20,T,-167.78343999999998
21,T,-252.36854
22,F,-0.64499
23,T,-169.00245
24,T,-167.22822
25,T,-167.08765
26,T,-168.87643
27,T,-169.23793999999998
28,T,-168.98703999999998
29,T,-167.88007
30,T,-169.38613
31,F,-100.64
32,T,-169.40973
33,T,-167.56377
34,T,-167.35171
35,F,-1.1377e-05
36,F,-2.3435e-05
37,F,-1.2469000000000001e-07
38,F,-0.41985
39,F,-0.009890799999999998
