Configuration,Convergence,E
0,T,-180.97608
1,F,-2.3751e-05
2,T,-181.00569
3,F,-7.8306e-05
4,F,-3.3062e-07
5,T,-181.23078999999998
6,T,-180.19891
7,T,-179.37012
8,T,-181.44783999999999
9,F,-0.0050506
10,T,-181.4954
11,F,-2.7205e-07
12,T,-179.36473
13,T,-181.51709
14,F,-1.4133e-05
15,T,-179.97915
16,F,-2.2828e-06
17,T,-179.15071
18,T,-181.27283
19,F,-2.4863e-07
20,F,-0.0010767
21,T,-179.38242
22,F,-2.2055999999999998e-07
23,F,-2.2241999999999998e-07
24,F,-4.5141000000000004e-07
25,F,-2.2836e-07
26,T,-179.17701
27,T,-181.36815
28,F,-6.187899999999999e-07
29,T,-180.82276000000002
30,T,-179.42891
31,F,-2.9711e-07
32,T,-177.25898
33,T,-181.50026
34,F,-4.872800000000001e-07
35,T,-179.28447
36,T,-180.0778
37,F,-2.9963e-05
38,F,-2.3674e-07
39,F,-2.2123e-07
40,T,-179.22381000000001
41,F,-2.0437000000000002e-07
42,F,-8.338200000000001e-07
43,F,-2.7393e-07
44,F,-6.2621e-07
45,F,-6.407899999999999e-07
46,F,-3.1648000000000004e-07
47,F,-2.623e-07
48,T,-180.8526
49,F,-4.3622e-06
50,T,-181.50136
51,F,-0.00040891
52,T,-181.46364
53,T,-179.91541
54,F,-0.19571
55,T,-181.86775
56,T,-181.33393999999998
57,T,-180.61956
58,T,-178.92623999999998
59,F,0.0
60,F,0.0
61,T,-180.79191
62,T,-179.97337
63,F,-1.952e-07
