Configuration,Convergence,E
0,T,-181.38193
1,T,-178.6439
2,T,-179.19964
3,T,-181.49022
4,F,-2.3033000000000002e-07
5,T,-181.56273000000002
6,T,-179.68141
7,F,-3.6367e-07
8,F,-6.821600000000001e-07
9,T,-181.12295
10,F,-4.6604e-06
11,F,-9.9319e-05
12,T,-181.61683
13,F,-0.13383
14,F,-5.147e-07
15,F,-1.2402000000000001e-05
16,F,-5.7873999999999995e-05
17,F,-4.646e-07
18,F,-1.9789e-07
19,T,-179.14968000000002
20,F,-1.4823e-05
21,T,-180.80376
22,F,-0.0044147
23,T,-181.41644
24,T,-178.66281999999998
25,F,-9.021200000000001e-05
26,T,-181.77521000000002
27,T,-181.26585
28,T,-181.48538
29,T,-179.51006
30,F,-3.6220999999999996e-07
31,F,-5.595e-05
32,F,-3.1521000000000003e-07
33,F,-4.5316e-06
34,T,-179.28753
35,T,-181.57102
36,T,-179.18084
37,T,-179.18458
38,F,-1.8169000000000002e-05
39,T,-179.10158
40,F,-4.9696e-07
41,T,-181.49728000000002
42,T,-178.99191000000002
43,T,-179.23936
44,T,-179.10413
45,T,-179.23076
46,F,-1.8538e-05
47,T,-179.07962
48,T,-179.38461999999998
49,T,-181.69374
50,T,-181.02607
51,T,-178.96848
52,T,-179.11174
53,T,-179.15704
54,T,-181.36603
55,T,-179.16751000000002
56,T,-179.11518
57,T,-179.27614
58,T,-181.87468
59,T,-181.25031
60,T,-179.10724
61,T,-179.32128
62,T,-179.17651999999998
63,T,-180.94702
