Configuration,Convergence,E
0.0,F,-3.9455e-07
1.0,T,-181.06723
2.0,F,-4.4898000000000004e-07
3.0,F,-2.2546999999999997e-07
4.0,T,-181.11661
5.0,T,-180.23774
6.0,T,-180.99719
7.0,T,-180.12982
8.0,F,-2.2835e-07
9.0,F,-0.008978
10.0,T,-180.74896
11.0,F,-4.0467e-05
12.0,T,-181.12242
13.0,T,-181.28133
14.0,T,-181.16728999999998
15.0,F,-7.483800000000001e-07
16.0,T,-180.96275
17.0,F,-2.1394000000000002e-07
18.0,F,-2.1249000000000002e-07
19.0,T,-181.26453999999998
20.0,F,-3.2119e-07
21.0,T,-181.10273
22.0,F,-3.3243e-07
23.0,T,-180.41276000000002
24.0,T,-181.45486
25.0,F,-3.0201e-07
26.0,T,-180.47926
27.0,F,-2.6322e-05
28.0,F,-2.9851e-07
29.0,T,-180.90665
30.0,T,-181.60451
31.0,F,-3.414e-07
32.0,F,-0.0046446000000000005
33.0,T,-181.25579
34.0,T,-181.08226000000002
35.0,F,-0.0013468
36.0,F,-2.4033e-06
37.0,T,-180.11903
38.0,F,-1.714e-05
39.0,T,-180.94866000000002
40.0,F,-2.804e-07
41.0,F,-6.6525e-05
42.0,T,-181.51038
43.0,F,-0.00049743
44.0,T,-181.66512
45.0,F,-0.011399
46.0,F,-3.1686e-07
47.0,F,-4.6391e-06
48.0,T,-179.85141000000002
49.0,T,-182.07836
50.0,F,-0.0052368
51.0,T,-180.84576
52.0,T,-180.04183999999998
53.0,T,-181.71143999999998
54.0,F,-0.00041253
55.0,T,-180.28243999999998
56.0,T,-181.01386000000002
57.0,F,0.0
58.0,T,-181.17744
59.0,T,-181.14201
60.0,T,-181.44163999999998
61.0,T,-180.12457
62.0,T,-181.62106
63.0,F,-8.9167
,,
